,0
26,"A survey about knowledge and attitudes of people towards violence against women in community / family settings. Aziz Batebi, Abolghasem Pourreza, Pedram Mousavi, Gholamreza Garmaroudi. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 103. "
27,"Spousal violence against women in Iran. Hassan Eftekhar, Ameneh Setareh Forouzan. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 104. "
28,"Prevalence of intimate partner violence (IPV) in addictive behaviours: Differential profile between addicted patients with and without associated gender violence. Javier Fernandez-Montalvo, José Javier López-Goñi, Alfonso Arteaga. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 105. "
29,"Partner violence against women during pregnancy, common mental disorders during pregnancy and postnatal depression. Ana Bernarda Ludermir, Sandra Alves Valongueiro, Thália Velho Barreto de Araújo, Glyn. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 107. "
30,"Risk assessment in female forensic psychiatric patients. First results with new gender-sensitive risk assessment guidelines. Vivienne de Vogel, Michiel de Vries Robbé. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 111. "
31,"Systematic review of risk assessment approaches and interventions with perpetrators of domestic violence. Richard Whittington, Juliet Hockenhull, Wally Barr, Gemma Cherry, Maria Leitner, James. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 112. "
32,". Frequency of assault and severity of injury of psychiatric nurses in relation to the nurses’ decision to restrainp. 113. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. McGuire. University of Liverpool, Liverpool, UK caregivers. p. 113. "
33,"Frequency of assault and severity of injury of psychiatric nurses in relation to the nurses’ decision to restrain. Lois Biggin Moylan, Meritta Cullinan. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 113. "
34,"The effect of violence on healthcare workers’ stress and productivity. Donna Gates, Gordon Gillespie, Paul Succop, Maria Sanker, Terry Kowalenko, Tammy Mentzel. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 119. "
35,"Symptoms of post-traumatic stress in hospital based emergency department workers. Gordon Gillespie, Donna Gates, Scott Bresler, Tammy Mentzel, Maria Sanker, Terry Kowalenko. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 120. "
36,"ASSIST model. Annette Greenwood, Carol Rooney. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 121. "
37,"Violence against staff – ‘through blood, sweat and tears’..I’ll still care for you’. Natalie Hammond, Simon Jackson. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 122. "
38,"Serious assaults on staff: A study at a secure psychiatric hospital. Camilla Haw, Helen Sasegbon. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 123. "
39,"First impression, final impression?. Alian Merkus, Freddy van der Veen. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 127. "
40,"Perception of nurses who are working at a University Hospital to patient agression. Ozan Pazvantoglu, Kubra Gumus, Omer Boke, Ilknur Yildiz. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 130. "
41,"Verbal aggression against staff in health care: A qualitative study in different settings. Dirk Richter. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 132. "
42,"Review of the medical theories and research relating to restraint related deaths. Colin Dale. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 133. "
43,"Patient participation in compulsory care in an acute psychiatric setting. Monica Hansson, C. Zander, C, EM. Olsson, M Sörensen, J. Elmblad, M. Holtmar, H. Björck, K. Lindgren. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 134. "
44,"Coercive treatments in forensic psychiatry: a study of patients’ experiences and preferences. Camilla Haw, Jean Stubbs, Andy Bickle, Inga Stewart. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 137. "
45,"Informal coercion and its relevance to the therapeutic relationship. Matthias Jaeger, Anastasia Theodoridou, Wulf Rossler. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 138. "
46,"Use of coercive measures in psychiatric care. Barbara Lay, Carlos Nordt, Wulf Roessler. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 142. "
47,"Involuntary psychiatric admission in Germany: the patients’ perspective. Paulo Kling Lourenço, Thomas Becker, Tilman Steinert, Gerhard Längle, Daniela Croissant,. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 143. "
48,"The incidence of coercive measures during a 24 months period at a regional psychiatric department in Vienna. Petra Pröglhöf, Vera Pfersmann. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 147. "
49,"Otto Wagner Hospital, Vienna, Austria aspects of violence.. The effect of physical space on aggression in closed admission wards of psychiatric hospitals in the Netherlands: A quantitative study with a nation-wide. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 152. "
50,"Differences in male and female nurses› response to physical assault by psychiatric patients. Lois Biggin Moylan, Meritta Cullinan. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 155. "
51,"Gaining consensus on priority areas for violence management in practice education and research across Europe: A novel eDelphi approach. Seamus Cowman, Eric Clarke, Georgina Gethin, EViPRG members. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 161. "
52,"Potential severity of aggressive behaviour after acquired brain injury: implications for recording. Geoff Dickens, Nick Alderman, Len Bowers. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 162. "
53,"Violence and mental disorder: A central paradigm for psychiatry. Virgil Hancock. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 166. "
54,"Safety in numbers: is the violence research literature too heterogeneous to be useful?. Juliet Hockenhull, Richard Whittington, Maria Leitner, M Gemma Cherry, Wally Barr, James. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 172. "
55,"Partnering with an inpatient psychiatric hospital to evaluate measures of aggressive behavior. Joanne Iennaco, Lawrence Scahill, Jane Dixon, Robin Whittemore, Susan Busch, Len Bowers. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 173. "
56,"I’m just doing fine: Preliminary results of an art and training project relating to self-harm in psychiatry. Nienke Kool, Berno van Meijel, Bauke Koekkoek, Ad Kerkhof. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 174. "
57,"Audit of suicides in a South Staffordshire (UK) psychiatry unit to determine any preventable deaths. Vasudevan Krishnan, Jayaraj Padmanabhan, Abid Khan. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 176. "
58,"Introducing screening for domestic violence in family care settings in Slovenia. Nena Kopcavar Gucek, Igor Svab, Polona Selic. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 177. "
59,"A comparative study of attitudes towards aggression in 16 psychiatric wards. Tero Laiho, Hanna Putkonen, Nina Lindberg. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 178. "
60,"Available instruments to register aggression incidents on psychiatric wards: a literature review. Joris Leys, Karen Lauwaert, Nataly Fillion, Micheline Gobert, Katrien Vanderwee, Sofie Verhaeghe. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 179. "
61,"Demographics on not formerly known inpatients in an medium security forensic department in Denmark. Steen Madsen, Christian Delcomyn Steffensen, Thomas Schütze. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 180. "
62,"Belgian hospitals. Joris Leys, Karen Lauwaert, Nataly Fillion, Jasper Feyaerts, Micheline Gobert, Katrien. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 181. "
63,"Violent acts at the University Hospital of Psychiatry Bern. Thomas Reisch, Daniel Born. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 183. "
64,"A study of GPs practices and reflections regarding involuntary psychiatric admissions. Ketil Røtvold, Rolf Wynn. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 184. "
65,"Better quality of life of sexual deviants is after surgical castration than after hormonal therapy. Jiří Švarc, Slavoj Brichcin. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 185. "
66,"Clinical and demographic profile of repeatedly violent patients in an acute psychiatric hospital: A one-year retrospective study. Lizica Troneci, Rozy Aurora, Katya Frischer, Nataliya Gulyayeva, Ali Khadivi, Andrei Nagorny. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 187. "
67,"Violence and victimization among Czech psychiatric patients. Jan Vevera. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 189. "
68,". Two Session Treatment Protocol Post Non-Lethal Restraint (Tasing)p. 193. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. GGNet, Doetinchem, The Netherlands trainings for violent patients. p. 193. "
69,"Two Session Treatment Protocol Post Non-Lethal Restraint (Tasing). Brian Van Brunt,. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 193. "
70,"Group treatment and interventions in a High Security Forensic Hospital: How to increase knowledge about own illness, prevent relapse, and increase social skills.. Antje Daniela Gross-Benberg, Karianne Grøtte, Hildegunn Fjærvik, Berit Iversen, Kim Mørk,. In: Violence in Clinical Psychiatry. Eds: Needham I, Nijman H, Palmstierna T, Almvik R, Oud N. Proceedings of the 7th European Congress on Violence in Clinical Psychiatry. 19–22 October 2011; Prague. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2011. p. 196. "
